,timestamp,mcap,symbol
0,1609459200000,20934027063.04073,tether
1,1609545600000,21123644615.38574,tether
2,1609632000000,21202977966.966965,tether
3,1609718400000,21350523809.280685,tether
4,1609804800000,21808226475.32642,tether
5,1609891200000,21938753509.124535,tether
6,1609977600000,22300090404.1088,tether
7,1610064000000,22825440973.459038,tether
8,1610150400000,23523147664.187305,tether
9,1610236800000,23789558136.59055,tether
10,1610323200000,24279872324.78446,tether
11,1610409600000,24476886629.5841,tether
12,1610496000000,24294673600.944046,tether
13,1610582400000,24337321169.826145,tether
14,1610668800000,24213693580.926777,tether
15,1610755200000,24266793529.261494,tether
16,1610841600000,24315907744.20519,tether
17,1610928000000,24325253500.348637,tether
18,1611014400000,24361784336.09795,tether
19,1611100800000,24298711592.612995,tether
20,1611187200000,24773996062.93597,tether
21,1611273600000,25008394352.59355,tether
22,1611360000000,24801327622.792286,tether
23,1611446400000,24747246253.755672,tether
24,1611532800000,24813122584.88907,tether
25,1611619200000,24943473422.73445,tether
26,1611705600000,25059561869.015553,tether
27,1611792000000,25255177033.61132,tether
28,1611878400000,25378936181.757412,tether
29,1611964800000,25228959196.063007,tether
30,1612051200000,26260606337.887394,tether
31,1612137600000,26460152363.20715,tether
32,1612224000000,26539965348.818275,tether
33,1612310400000,26737565393.607494,tether
34,1612396800000,27040294469.11286,tether
35,1612483200000,27464486048.164513,tether
36,1612569600000,27816326085.945854,tether
37,1612656000000,28318232688.704033,tether
38,1612742400000,28564384006.70739,tether
39,1612828800000,28863249466.014015,tether
40,1612915200000,29758402439.41391,tether
41,1613001600000,30256118930.225216,tether
42,1613088000000,30750705243.030983,tether
43,1613174400000,31064574294.367252,tether
44,1613260800000,31539493807.170025,tether
45,1613347200000,31950061617.476994,tether
46,1613433600000,32119872729.8971,tether
47,1613520000000,32322580880.821716,tether
48,1613606400000,32391466873.779316,tether
49,1613692800000,33157947105.034473,tether
50,1613779200000,33750136267.936314,tether
51,1613865600000,34371952648.25752,tether
52,1613952000000,34386570525.72401,tether
53,1614038400000,34756738533.76357,tether
54,1614124800000,34896050919.73742,tether
55,1614211200000,35055733490.14547,tether
56,1614297600000,34953515263.391785,tether
57,1614384000000,35297886361.616516,tether
58,1614470400000,35019017695.772484,tether
59,1614556800000,35168931968.608925,tether
60,1614643200000,35205221027.27653,tether
61,1614729600000,35648335234.61495,tether
62,1614816000000,35849578088.00556,tether
63,1614902400000,36436768966.71434,tether
64,1614988800000,36442357698.78603,tether
65,1615075200000,36505130743.971436,tether
66,1615161600000,36537451758.11312,tether
67,1615248000000,36485945568.00477,tether
68,1615334400000,36891976398.89507,tether
69,1615420800000,37294121249.33685,tether
70,1615507200000,37582370331.17996,tether
71,1615593600000,38189879216.688835,tether
72,1615680000000,38311238719.403534,tether
73,1615766400000,38391230641.18308,tether
74,1615852800000,38533359862.69341,tether
75,1615939200000,38715432782.02733,tether
76,1616025600000,38960558816.205734,tether
77,1616112000000,39026603881.10389,tether
78,1616198400000,39402122650.76657,tether
79,1616284800000,39691193064.47697,tether
80,1616371200000,39733383314.9747,tether
81,1616457600000,39779162452.00496,tether
82,1616544000000,39679592730.53306,tether
83,1616630400000,39874985485.65208,tether
84,1616716800000,40325387954.373184,tether
85,1616803200000,40289735331.71208,tether
86,1616889600000,40515567103.37723,tether
87,1616976000000,40696987500.41536,tether
88,1617062400000,40527975007.60046,tether
89,1617148800000,40730247053.68744,tether
90,1617235200000,40816914163.929474,tether
91,1617321600000,40835188151.576355,tether
92,1617408000000,41789686877.69644,tether
93,1617494400000,42448788685.50856,tether
94,1617580800000,42493963928.168076,tether
95,1617667200000,42544365000.30919,tether
96,1617753600000,43125054016.87094,tether
97,1617840000000,43178291900.996994,tether
98,1617926400000,43829500562.84908,tether
99,1618012800000,43883964992.77502,tether
100,1618099200000,44559427154.3627,tether
101,1618185600000,44446295786.07,tether
102,1618272000000,44597273098.82286,tether
103,1618358400000,45518007079.69161,tether
104,1618444800000,45928633894.53902,tether
105,1618531200000,46601536890.78333,tether
106,1618617600000,46966476338.49882,tether
107,1618704000000,47980429555.13232,tether
108,1618790400000,48440253076.1749,tether
109,1618876800000,48246126852.29021,tether
110,1618963200000,48820994300.749,tether
111,1619049600000,49176280914.27819,tether
112,1619136000000,49655032885.85445,tether
113,1619222400000,49477553574.902,tether
114,1619308800000,49501156852.96325,tether
115,1619395200000,50300761608.34373,tether
116,1619481600000,50177957598.77153,tether
117,1619568000000,50288933664.67886,tether
118,1619654400000,51109245003.48066,tether
119,1619740800000,51252930927.272285,tether
120,1619827200000,51180431595.88118,tether
121,1619913600000,51679435029.64995,tether
122,1620000000000,51994800962.15627,tether
123,1620086400000,52331138431.29154,tether
124,1620172800000,52279586920.02838,tether
125,1620259200000,53023829034.184204,tether
126,1620345600000,53739048757.24177,tether
127,1620432000000,54969338625.957596,tether
128,1620518400000,55472173385.97693,tether
129,1620604800000,55793170948.99948,tether
130,1620691200000,56104046205.3234,tether
131,1620777600000,56741107698.80232,tether
132,1620864000000,57651461403.71861,tether
133,1620950400000,57935084385.193886,tether
134,1621036800000,58027326444.74941,tether
135,1621123200000,58377161526.95669,tether
136,1621209600000,58715150844.1361,tether
137,1621296000000,58391640940.34363,tether
138,1621382400000,58284037564.00141,tether
139,1621468800000,58182230212.21091,tether
140,1621555200000,58467894310.534,tether
141,1621641600000,58629178479.0463,tether
142,1621728000000,59767412543.60663,tether
143,1621814400000,59697759251.172356,tether
144,1621900800000,59790210429.48368,tether
145,1621987200000,60307482210.61514,tether
